neighborhood           , pop
South End              ,  34669   
Central                ,  30901   
Fenway - Kenmore       ,  40898   
South Boston           ,  33688   
Charlestown            ,  16439   
Allston - Brighton     ,  74997   
West Roxbury           ,  30445   
Roxbury                ,  59790   
East Boston            ,  40508   
Jamaica Plain          ,  39897   
Back Bay - Beacon Hill ,  27476   
Hyde Park              ,  31813   
North Dorchester       ,  28384   
South Dorchester       ,  59949   
Roslindale             ,  32589   
Mattapan               ,  34616   
Harbor Islands         ,  535      
